date,time,batteryVoltage,batteryCurrent,panelVoltage,panelPower
25/3/2015,10:30:08 AM,24940,300,36180,8
25/3/2015,10:30:10 AM,24950,300,37950,8
25/3/2015,10:30:10 AM,24940,300,38290,7
25/3/2015,10:30:11 AM,24940,300,36970,8
25/3/2015,10:30:11 AM,24950,300,33950,8
25/3/2015,10:30:12 AM,24940,300,37710,8
25/3/2015,10:30:12 AM,24940,200,38510,7
25/3/2015,10:30:13 AM,24950,300,37290,8
25/3/2015,10:30:13 AM,24950,300,35530,8
25/3/2015,10:30:14 AM,24950,300,38010,8
25/3/2015,10:30:14 AM,24950,300,37390,8
25/3/2015,10:30:15 AM,24960,300,33700,9
25/3/2015,10:30:15 AM,24960,300,33070,8
25/3/2015,10:30:16 AM,24950,300,30050,8
25/3/2015,10:30:16 AM,24950,300,29940,8
25/3/2015,10:30:16 AM,24940,200,30050,8
25/3/2015,10:30:17 AM,24940,200,30190,7
25/3/2015,10:30:17 AM,24950,200,30280,7
25/3/2015,10:30:18 AM,24940,200,30350,7
25/3/2015,10:30:18 AM,24950,200,29600,8
25/3/2015,10:30:19 AM,24950,200,30440,7
25/3/2015,10:31:44 AM,24980,200,28290,7
25/3/2015,10:31:46 AM,24980,200,27810,7
25/3/2015,10:31:47 AM,24980,200,27720,7
25/3/2015,10:31:48 AM,24980,200,29000,7
25/3/2015,10:31:49 AM,24980,200,30290,7
25/3/2015,10:31:49 AM,24980,200,30170,7
25/3/2015,10:31:50 AM,24980,200,30240,7
25/3/2015,10:31:50 AM,24980,200,29960,7
25/3/2015,10:31:51 AM,24980,200,29280,7
25/3/2015,10:31:51 AM,24980,200,30330,7
25/3/2015,10:31:52 AM,24990,200,30150,7
25/3/2015,10:31:52 AM,24990,200,29940,7
25/3/2015,10:31:53 AM,24990,200,29800,7
25/3/2015,10:31:53 AM,24990,300,32880,7
25/3/2015,10:31:54 AM,24990,200,34790,7
25/3/2015,10:31:54 AM,24990,300,38090,7
25/3/2015,10:31:56 AM,24990,300,33580,8
25/3/2015,10:31:56 AM,24990,300,32050,8
25/3/2015,10:31:57 AM,24990,200,29710,7
25/3/2015,10:31:57 AM,24990,200,29940,7
25/3/2015,10:31:57 AM,24990,200,30150,7
25/3/2015,10:31:58 AM,24990,200,30220,7
25/3/2015,10:31:58 AM,24990,200,29970,7
25/3/2015,10:31:59 AM,24990,200,29800,7
25/3/2015,10:31:59 AM,24990,200,31650,7
25/3/2015,10:32:00 AM,24990,200,33570,7
25/3/2015,10:32:00 AM,24990,300,38390,7
25/3/2015,10:32:01 AM,24990,300,33930,8
25/3/2015,10:32:01 AM,24990,300,32260,8
25/3/2015,10:32:01 AM,24990,200,29760,7
25/3/2015,10:32:02 AM,24990,200,29940,7
25/3/2015,10:32:02 AM,24990,200,30200,7
25/3/2015,10:32:03 AM,24990,200,30330,7
25/3/2015,10:32:03 AM,24990,200,29060,7
25/3/2015,10:32:04 AM,24990,200,29510,7
25/3/2015,10:32:04 AM,24990,200,30240,7
25/3/2015,10:32:04 AM,24990,200,30000,7
25/3/2015,10:32:05 AM,24990,200,29840,7
25/3/2015,10:32:06 AM,24990,200,29760,7
25/3/2015,10:32:06 AM,24990,200,33100,7
25/3/2015,10:43:44 AM,25580,400,34890,11
25/3/2015,10:43:45 AM,25560,300,31850,11
25/3/2015,10:43:45 AM,25530,300,30900,10
25/3/2015,10:43:46 AM,25530,300,31190,10
25/3/2015,10:43:46 AM,25530,300,31460,10
25/3/2015,10:43:47 AM,25530,300,30500,10
25/3/2015,10:43:47 AM,25530,300,29070,10
25/3/2015,10:43:48 AM,25530,300,28010,10
25/3/2015,10:43:48 AM,25510,300,30460,9
25/3/2015,10:43:49 AM,25460,0,50630,3
25/3/2015,10:43:49 AM,25510,300,46920,5
25/3/2015,10:43:50 AM,25510,400,39610,10
25/3/2015,10:43:50 AM,25510,400,34800,10
25/3/2015,10:43:51 AM,25510,400,32490,10
25/3/2015,10:43:51 AM,25490,300,30830,10
25/3/2015,10:43:52 AM,25480,300,31000,10
25/3/2015,10:43:52 AM,25460,300,31260,9
25/3/2015,10:43:53 AM,25460,300,30380,10
25/3/2015,10:43:53 AM,25460,300,29140,9
25/3/2015,10:43:54 AM,25460,300,27980,9
25/3/2015,10:43:54 AM,25460,300,29260,9
25/3/2015,10:43:54 AM,25460,300,30630,9
25/3/2015,10:43:55 AM,25460,300,31160,9
25/3/2015,10:43:55 AM,25460,300,30960,9
25/3/2015,10:43:56 AM,25460,300,30760,9
25/3/2015,10:43:56 AM,25460,300,31950,9
25/3/2015,10:43:57 AM,25460,300,34670,10
25/3/2015,10:43:57 AM,25460,300,39490,10
25/3/2015,10:43:58 AM,25450,300,46470,9
25/3/2015,10:43:58 AM,25450,300,39440,10
25/3/2015,10:43:59 AM,25450,300,34740,10
25/3/2015,10:43:59 AM,25450,400,32030,10
25/3/2015,10:44:00 AM,25450,300,30740,10
25/3/2015,10:44:00 AM,25450,300,30960,9
25/3/2015,10:44:01 AM,25450,300,31200,9
25/3/2015,10:44:01 AM,25450,300,31160,9
25/3/2015,10:44:02 AM,25450,300,30950,9
25/3/2015,10:44:02 AM,25430,300,30760,9
25/3/2015,10:44:03 AM,25430,300,30870,9
25/3/2015,10:44:03 AM,25430,300,34500,10
25/3/2015,10:44:04 AM,25430,300,38950,10
25/3/2015,10:44:05 AM,25400,200,44340,9
25/3/2015,10:44:05 AM,25420,300,39910,10
25/3/2015,10:44:06 AM,25410,300,34850,10
25/3/2015,10:44:06 AM,25410,300,32820,10
25/3/2015,10:44:06 AM,25400,300,30690,10
25/3/2015,10:44:07 AM,25400,300,30780,9
25/3/2015,10:44:07 AM,25400,300,31010,9
25/3/2015,10:44:08 AM,25400,300,30630,9
25/3/2015,10:44:08 AM,25400,300,31040,9
25/3/2015,10:44:09 AM,25400,300,30830,9
25/3/2015,10:44:09 AM,25400,300,30630,9
25/3/2015,10:44:10 AM,25400,300,32060,9
25/3/2015,10:44:10 AM,25400,300,34510,10
25/3/2015,10:44:11 AM,25400,300,39370,10
25/3/2015,10:44:12 AM,25400,400,40600,10
25/3/2015,10:44:18 AM,25400,400,36040,10
25/3/2015,10:44:18 AM,25400,300,33440,10
25/3/2015,10:44:19 AM,25400,300,30600,10
25/3/2015,10:44:19 AM,25400,300,30790,9
25/3/2015,10:44:19 AM,25400,300,30980,9
25/3/2015,10:44:19 AM,25400,300,30860,9
25/3/2015,10:44:20 AM,25400,300,30860,9
25/3/2015,10:44:20 AM,25400,300,30910,9
25/3/2015,10:44:20 AM,25400,300,30710,9
25/3/2015,10:44:21 AM,25400,300,31120,9
25/3/2015,10:44:21 AM,25380,300,30860,9
25/3/2015,10:44:21 AM,25380,300,30630,9
25/3/2015,10:44:21 AM,25380,300,32970,9
25/3/2015,10:44:22 AM,25380,300,34650,9
25/3/2015,10:44:22 AM,25390,300,39390,10
25/3/2015,10:44:22 AM,25380,300,39640,10
25/3/2015,10:44:22 AM,25380,300,34700,10
25/3/2015,10:44:23 AM,25380,300,32490,10
25/3/2015,10:44:23 AM,25380,300,33580,9
25/3/2015,10:44:23 AM,25380,300,34970,10
25/3/2015,10:44:24 AM,25380,300,34340,10
25/3/2015,10:44:24 AM,25380,300,30990,10
25/3/2015,10:44:24 AM,25380,300,30600,9
25/3/2015,10:44:24 AM,25380,300,30770,9
25/3/2015,10:44:25 AM,25380,300,31030,9
25/3/2015,10:44:25 AM,25380,300,30100,9
25/3/2015,10:44:25 AM,25380,300,30030,9
25/3/2015,10:44:26 AM,25380,300,29920,9
25/3/2015,10:44:26 AM,25380,300,31000,9
25/3/2015,10:44:26 AM,25380,300,30900,9
25/3/2015,10:44:27 AM,25370,300,30630,9
25/3/2015,10:44:27 AM,25370,300,30600,9
25/3/2015,10:44:28 AM,25380,300,33970,9
25/3/2015,10:44:28 AM,25360,300,37590,9
25/3/2015,10:44:29 AM,25360,300,42090,9
25/3/2015,10:44:29 AM,25380,300,38260,10
25/3/2015,10:44:30 AM,25370,300,34070,10
25/3/2015,10:44:30 AM,25350,300,30630,10
25/3/2015,10:44:31 AM,25350,300,30610,9
25/3/2015,10:44:31 AM,25340,300,30630,9
25/3/2015,10:44:31 AM,25350,300,32450,9
25/3/2015,10:44:32 AM,25350,300,34650,9
25/3/2015,10:44:32 AM,25350,300,39380,10
25/3/2015,10:44:33 AM,25350,300,43270,9
25/3/2015,10:44:33 AM,25350,300,38130,10
25/3/2015,10:44:34 AM,25330,300,33970,10
